GeneID,Symbol,log2(fold change)(AD_females vs ctrl),-log10(Pvalue)(AD_females vs ctrl)
100271849,MEF2B,0.648,1.433
101730217,SPECC1L-ADORA2A,0.646,1.813
196051,PLPP4,0.645,1.333
6599,SMARCC1,0.644,1.964
84733,CBX2,0.644,1.636
130132,RFTN2,0.642,1.32
11173,ADAMTS7,0.642,1.515
85407,NKD1,0.642,1.593
92312,MEX3A,0.641,1.385
4176,MCM7,0.641,1.478
1031,CDKN2C,0.64,1.526
85301,COL27A1,0.639,1.791
114108587,ATF7-NPFF,0.636,1.829
56288,PARD3,0.635,1.596
9509,ADAMTS2,0.631,1.568
154043,CNKSR3,0.631,1.398
107985320,LOC107985320,0.631,1.336
7164,TPD52L1,0.627,1.436
1104,RCC1,0.626,1.635
23493,HEY2,0.62,1.418
5860,QDPR,0.617,1.597
3092,HIP1,0.615,1.512
254427,PROSER2,0.612,1.427
23242,COBL,0.611,2.139
158405,KIAA1958,0.61,1.314
221749,PXDC1,0.608,1.547
7145,TNS1,0.607,1.363
26790,SNORD58B,0.607,1.706
55007,FAM118A,0.606,1.32
266727,MDGA1,0.604,2.352
642475,MROH6,0.603,1.325
375061,FAM89A,0.602,1.309
154761,LOC154761,0.602,1.32
6542,SLC7A2,0.602,1.501
1775,DNASE1L2,0.6,1.644
79710,MORC4,0.598,1.812
11170,FAM107A,0.596,1.476
126374,WTIP,0.596,1.314
27237,ARHGEF16,0.591,1.362
79443,FYCO1,0.591,1.598
2796,GNRH1,0.587,1.586
284297,SSC5D,0.587,1.744
168544,ZNF467,0.584,1.827
7975,MAFK,0.583,1.783
5970,RELA,0.583,1.882
1051,CEBPB,0.583,1.816
112885,PHF21B,0.582,1.724
2295,FOXF2,0.581,1.706
2323,FLT3LG,0.58,1.659
55194,EVA1B,0.578,1.609
3698,ITIH2,0.578,1.745
122953,JDP2,0.578,1.539
9261,MAPKAPK2,0.577,1.687
57645,POGK,0.576,2.008
79618,HMBOX1,0.576,1.956
29950,SERTAD1,0.574,1.349
114041,B3GALT5-AS1,0.574,1.663
152,ADRA2C,0.571,1.348
728464,METTL24,0.571,1.83
100133005,RASA4DP,0.571,1.524
112268122,LOC112268122,0.57,1.519
5118,PCOLCE,0.566,1.35
100528019,HSPB2-C11orf52,0.565,1.868
388531,RGS9BP,0.565,1.485
1719,DHFR,0.564,1.58
107984029,LOC107984029,0.564,1.485
3316,HSPB2,0.556,1.405
22794,CASC3,0.556,1.94
4792,NFKBIA,0.555,1.339
339451,KLHL17,0.554,1.92
338799,LINC01089,0.551,1.374
92999,ZBTB47,0.55,1.706
10106,CTDSP2,0.55,1.648
84074,QRICH2,0.55,1.308
83439,TCF7L1,0.549,1.353
105369779,CD63-AS1,0.549,1.567
1896,EDA,0.549,1.745
10256,CNKSR1,0.547,1.605
23589,CARHSP1,0.547,1.971
27134,TJP3,0.547,1.476
100533195,FAM24B-CUZD1,0.546,1.374
9580,SOX13,0.545,1.405
84444,DOT1L,0.545,2.715
64855,NIBAN2,0.542,1.344
90378,SAMD1,0.542,1.636
84515,MCM8,0.542,1.54
57530,CGN,0.54,1.522
10220,GDF11,0.538,1.502
100216545,KMT2E-AS1,0.537,1.391
101927655,ZASP,0.536,1.754
55036,CCDC40,0.534,1.596
389765,LOC389765,0.533,1.4
4775,NFATC3,0.531,1.706
10230,NBR2,0.531,1.845
3931,LCAT,0.53,1.334
105376952,LOC105376952,0.529,1.663
146705,TEPSIN,0.527,2.428
107985057,LOC107985057,0.526,1.31
340485,ACER2,0.526,1.544
